Campaign ID,Campaign Name,Campaign Status,Special Ad Category,Campaign Objective,Buying Type,Campaign Spend Limit,Campaign Daily Budget,Campaign Lifetime Budget,Campaign Bid Strategy,Tags,Ad Set ID,Ad Set Run Status,Ad Set Name,Ad Set Time Start,Ad Set Time Stop,Ad Set Daily Budget,Ad Set Lifetime Budget,Link Object ID,Link,Application ID,Countries,Global Regions,Excluded Global Regions,Cities,Regions,Zip,Gender,Age Min,Age Max,Education Status,College Start Year,College End Year,Interested In,Relationship,Connections,Excluded Connections,Friends of Connections,Locales,Broad Category Clusters,Custom Audiences,Excluded Custom Audiences,Location Cluster IDs,Excluded Location Cluster IDs,Publisher Platforms,Device Platforms,Facebook Positions,Instagram Positions,Messenger Positions,Audience Network Positions,Optimization Goal,Billing Event,Bid Amount,Ad Set Bid Strategy,Minimum ROAS,Ad Set Minimum Spend Limit,Ad Set Maximum Spend Limit,Large Geo Areas,Excluded Large Geo Areas,Medium Geo Areas,Excluded Medium Geo Areas,Small Geo Areas,Excluded Small Geo Areas,Metro Areas,Excluded Metro Areas,Subcities,Excluded Subcities,Neighborhoods,Excluded Neighborhoods,Subneighborhoods,Excluded Subneighborhoods,Ad ID,Ad Status,Ad Name,Title,Body,Link Description,Display Link,Image Hash,Creative Type,URL Tags,Image,Creative Optimization,Product 1 - Link,Product 1 - Name,Product 1 - Description,Product 1 - Image Hash,Product 2 - Link,Product 2 - Name,Product 2 - Description,Product 2 - Image Hash,Product 3 - Link,Product 3 - Name,Product 3 - Description,Product 3 - Image Hash,Call to Action,Story ID,Excluded Custom Audiences,Frequency Control,Optimized Conversion Tracking Pixels,Optimized Custom Conversion ID,Optimized Pixel Rule,Attribution Spec,View Tags
,A_PP_3P_CS_AD_PD_WB_IF_FB_ACQ-TEST-1,Paused,,,AUCTION,300,37.5,300,TARGET_COST,,,Paused,A_PP_3P_CS_AD_PD_WB_IF_FB_A_EN_BA_PP_NS_DN_CU_2P_FB_N1_OA_ACQ-TEST,23/03/2020,31/03/2020,37.5,300,o:589464587749730,https://www.paypal.com/my/webapps/mpp/global-shopping-with-paypal?tab=fashion,,Malaysia,,,,,,,18,65,,,,,,,,,English,,23843676985800639:TD_APAC_HK_MERC_T5-Active_365D_FB,23843673368620639:TD_APAC_HK_MERC_T2-SUComplete_FB,,,facebook,,,,,,,PAGE_LIKES,,Target Cost,,,,,,,,,,,,,,,,,,,Paused,A_PP_3P_CS_AD_PD_WB_IF_FB_A_EN_BA_PP_NS_DN_CU_2P_FB_N1_OA_XX_CS_90_NS_XO_ST_03_ACQ-SECURITY,PayPal Makes It Possible,Shop the world of fashion and keep your card details secure when you checkout with PayPal.,"With millions of merchants around the world, your#ootd is just a click away with PayPal.",PayPal.com,,Page Post Ad,,\Downloads\image_fashion.jpg,No,,,,,,,,,,,,,,,,1,tp:1674696026155243,2.38436E+16,,"[{""event_type"":""CLICK_THROUGH"",""window_days"":7},{""event_type"":""VIEW_THROUGH"",""window_days"":1}]","[""https://ad.doubleclick.net/ddm/trackimp/N426203.152606FACEBOOK.COM4/B20780821.215457437;dc_trk_aid=414508249;dc_trk_cid=98554523;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?""]"
,A_PP_3P_CS_AD_PD_WB_IF_FB_ACQ-TEST-2,Paused,,,AUCTION,300,37.5,300,TARGET_COST,,,Paused,A_PP_3P_CS_AD_PD_WB_IF_FB_A_EN_BA_PP_NS_DN_CU_2P_FB_N1_OA_ACQ-TEST,23/03/2020,31/03/2020,37.5,300,o:589464587749730,https://www.paypal.com/my/webapps/mpp/global-shopping-with-paypal?tab=health-and-beauty,,Malaysia,,,,,,,18,65,,,,,,,,,English,,23843676985800639:TD_APAC_HK_MERC_T5-Active_365D_FB,23843673368620639:TD_APAC_HK_MERC_T2-SUComplete_FB,,,facebook,,,,,,,PAGE_LIKES,,Target Cost,,,,,,,,,,,,,,,,,,,Paused,A_PP_3P_CS_AD_PD_WB_IF_FB_A_EN_BA_PP_NS_DN_CU_2P_FB_N1_OA_XX_CS_90_NS_XU_ST_03_ACQ-SECURITY,PayPal Makes It Possible,Shop the world of Health and keep your card details secure when you checkout with PayPal.,"With millions of merchants around the world, your#ootd is just a click away with PayPal.",PayPal.com,,Page Post Ad,,\Downloads\image_health.jpg,No,,,,,,,,,,,,,,,,1,tp:1674696026155243,2.38436E+16,,"[{""event_type"":""CLICK_THROUGH"",""window_days"":7},{""event_type"":""VIEW_THROUGH"",""window_days"":1}]","[""https://ad.doubleclick.net/ddm/trackimp/N426203.152606FACEBOOK.COM4/B20780821.215457437;dc_trk_aid=414508249;dc_trk_cid=98554523;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?""]"
,A_PP_3P_CS_AD_PD_WB_IF_FB_ACQ-TEST-3,Paused,,,AUCTION,300,37.5,300,TARGET_COST,,,Paused,A_PP_3P_CS_AD_PD_WB_IF_FB_A_EN_BA_PP_NS_DN_CU_2P_FB_N1_OA_ACQ-TEST,23/03/2020,31/03/2020,37.5,300,o:589464587749730,https://www.paypal.com/my/webapps/mpp/global-shopping-with-paypal?tab=travel,,Malaysia,,,,,,,18,65,,,,,,,,,English,,23843676985800639:TD_APAC_HK_MERC_T5-Active_365D_FB,23843673368620639:TD_APAC_HK_MERC_T2-SUComplete_FB,,,facebook,,,,,,,PAGE_LIKES,,Target Cost,,,,,,,,,,,,,,,,,,,Paused,A_PP_3P_CS_AD_PD_WB_IF_FB_A_EN_BA_PP_NS_DN_CU_2P_FB_N1_OA_XX_CS_90_NS_XW_ST_03_ACQ-SECURITY,PayPal Makes It Possible,Shop the world of Travel and keep your card details secure when you checkout with PayPal.,"With millions of merchants around the world, your#ootd is just a click away with PayPal.",PayPal.com,,Page Post Ad,,\Downloads\image_Travel.jpg,No,,,,,,,,,,,,,,,,1,tp:1674696026155243,2.38436E+16,,"[{""event_type"":""CLICK_THROUGH"",""window_days"":7},{""event_type"":""VIEW_THROUGH"",""window_days"":1}]","[""https://ad.doubleclick.net/ddm/trackimp/N426203.152606FACEBOOK.COM4/B20780821.215457437;dc_trk_aid=414508249;dc_trk_cid=98554523;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?""]"
,A_PP_3P_CS_AD_PD_WB_IF_FB_ACQ-TEST-4,Paused,,,AUCTION,300,37.5,300,TARGET_COST,,,Paused,A_PP_3P_CS_AD_PD_WB_IF_FB_A_EN_BA_PP_NS_DN_CU_2P_FB_N1_OA_ACQ-TEST,23/03/2020,31/03/2020,37.5,300,o:589464587749730,https://www.paypal.com/my/webapps/mpp/global-shopping-with-paypal?tab=fashion,,Malaysia,,,,,,,18,65,,,,,,,,,English,,23843676985800639:TD_APAC_HK_MERC_T5-Active_365D_FB,23843673368620639:TD_APAC_HK_MERC_T2-SUComplete_FB,,,facebook,,,,,,,PAGE_LIKES,,Target Cost,,,,,,,,,,,,,,,,,,,Paused,A_PP_3P_CS_AD_PD_WB_IF_FB_A_EN_BA_PP_NS_DN_CU_2P_FB_N1_OA_XX_DA_90_NS_XO_ST_03_ACQ-SECURITY,PayPal Makes It Possible,Shop the world of fashion and keep your card details secure when you checkout with PayPal.,"With millions of merchants around the world, your#ootd is just a click away with PayPal.",PayPal.com,,Page Post Ad,,\Downloads\image_fashion.jpg,No,,,,,,,,,,,,,,,,1,tp:1674696026155243,2.38436E+16,,"[{""event_type"":""CLICK_THROUGH"",""window_days"":7},{""event_type"":""VIEW_THROUGH"",""window_days"":1}]","[""https://ad.doubleclick.net/ddm/trackimp/N426203.152606FACEBOOK.COM4/B20780821.215457437;dc_trk_aid=414508249;dc_trk_cid=98554523;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?""]"
,A_PP_3P_CS_AD_PD_WB_IF_FB_ACQ-TEST-5,Paused,,,AUCTION,300,37.5,300,TARGET_COST,,,Paused,A_PP_3P_CS_AD_PD_WB_IF_FB_A_EN_BA_PP_NS_DN_CU_2P_FB_N1_OA_ACQ-TEST,23/03/2020,31/03/2020,37.5,300,o:589464587749730,https://www.paypal.com/my/webapps/mpp/global-shopping-with-paypal?tab=health-and-beauty,,Malaysia,,,,,,,18,65,,,,,,,,,English,,23843676985800639:TD_APAC_HK_MERC_T5-Active_365D_FB,23843673368620639:TD_APAC_HK_MERC_T2-SUComplete_FB,,,facebook,,,,,,,PAGE_LIKES,,Target Cost,,,,,,,,,,,,,,,,,,,Paused,A_PP_3P_CS_AD_PD_WB_IF_FB_A_EN_BA_PP_NS_DN_CU_2P_FB_N1_OA_XX_DA_90_NS_XU_ST_03_ACQ-SECURITY,PayPal Makes It Possible,Shop the world of Health and keep your card details secure when you checkout with PayPal.,"With millions of merchants around the world, your#ootd is just a click away with PayPal.",PayPal.com,,Page Post Ad,,\Downloads\image_health.jpg,No,,,,,,,,,,,,,,,,1,tp:1674696026155243,2.38436E+16,,"[{""event_type"":""CLICK_THROUGH"",""window_days"":7},{""event_type"":""VIEW_THROUGH"",""window_days"":1}]","[""https://ad.doubleclick.net/ddm/trackimp/N426203.152606FACEBOOK.COM4/B20780821.215457437;dc_trk_aid=414508249;dc_trk_cid=98554523;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?""]"
,A_PP_3P_CS_AD_PD_WB_IF_FB_ACQ-TEST-6,Paused,,,AUCTION,300,37.5,300,TARGET_COST,,,Paused,A_PP_3P_CS_AD_PD_WB_IF_FB_A_EN_BA_PP_NS_DN_CU_2P_FB_N1_OA_ACQ-TEST,23/03/2020,31/03/2020,37.5,300,o:589464587749730,https://www.paypal.com/my/webapps/mpp/global-shopping-with-paypal?tab=travel,,Malaysia,,,,,,,18,65,,,,,,,,,English,,23843676985800639:TD_APAC_HK_MERC_T5-Active_365D_FB,23843673368620639:TD_APAC_HK_MERC_T2-SUComplete_FB,,,facebook,,,,,,,PAGE_LIKES,,Target Cost,,,,,,,,,,,,,,,,,,,Paused,A_PP_3P_CS_AD_PD_WB_IF_FB_A_EN_BA_PP_NS_DN_CU_2P_FB_N1_OA_XX_DA_90_NS_XW_ST_03_ACQ-SECURITY,PayPal Makes It Possible,Shop the world of Travel and keep your card details secure when you checkout with PayPal.,"With millions of merchants around the world, your#ootd is just a click away with PayPal.",PayPal.com,,Page Post Ad,,\Downloads\image_Travel.jpg,No,,,,,,,,,,,,,,,,1,tp:1674696026155243,2.38436E+16,,"[{""event_type"":""CLICK_THROUGH"",""window_days"":7},{""event_type"":""VIEW_THROUGH"",""window_days"":1}]","[""https://ad.doubleclick.net/ddm/trackimp/N426203.152606FACEBOOK.COM4/B20780821.215457437;dc_trk_aid=414508249;dc_trk_cid=98554523;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?""]"
,A_PP_3P_CS_AD_PD_WB_IF_FB_ACQ-TEST-7,Paused,,,AUCTION,300,37.5,300,TARGET_COST,,,Paused,A_PP_3P_CS_AD_PD_WB_IF_FB_A_EN_BA_PP_NS_DN_CU_2P_FB_N1_OA_ACQ-TEST,23/03/2020,31/03/2020,37.5,300,o:589464587749730,https://www.paypal.com/my/webapps/mpp/global-shopping-with-paypal?tab=fashion,,Malaysia,,,,,,,18,65,,,,,,,,,English,,23843676985800639:TD_APAC_HK_MERC_T5-Active_365D_FB,23843673368620639:TD_APAC_HK_MERC_T2-SUComplete_FB,,,facebook,,,,,,,PAGE_LIKES,,Target Cost,,,,,,,,,,,,,,,,,,,Paused,A_PP_3P_CS_AD_PD_WB_IF_FB_A_EN_BA_PP_NS_DN_CU_2P_FB_N1_OA_XX_IF_90_NS_XO_ST_03_ACQ-SECURITY,PayPal Makes It Possible,Shop the world of fashion and keep your card details secure when you checkout with PayPal.,"With millions of merchants around the world, your#ootd is just a click away with PayPal.",PayPal.com,,Page Post Ad,,\Downloads\image_fashion.jpg,No,,,,,,,,,,,,,,,,1,tp:1674696026155243,2.38436E+16,,"[{""event_type"":""CLICK_THROUGH"",""window_days"":7},{""event_type"":""VIEW_THROUGH"",""window_days"":1}]","[""https://ad.doubleclick.net/ddm/trackimp/N426203.152606FACEBOOK.COM4/B20780821.215457437;dc_trk_aid=414508249;dc_trk_cid=98554523;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?""]"
,A_PP_3P_CS_AD_PD_WB_IF_FB_ACQ-TEST-8,Paused,,,AUCTION,300,37.5,300,TARGET_COST,,,Paused,A_PP_3P_CS_AD_PD_WB_IF_FB_A_EN_BA_PP_NS_DN_CU_2P_FB_N1_OA_ACQ-TEST,23/03/2020,31/03/2020,37.5,300,o:589464587749730,https://www.paypal.com/my/webapps/mpp/global-shopping-with-paypal?tab=health-and-beauty,,Malaysia,,,,,,,18,65,,,,,,,,,English,,23843676985800639:TD_APAC_HK_MERC_T5-Active_365D_FB,23843673368620639:TD_APAC_HK_MERC_T2-SUComplete_FB,,,facebook,,,,,,,PAGE_LIKES,,Target Cost,,,,,,,,,,,,,,,,,,,Paused,A_PP_3P_CS_AD_PD_WB_IF_FB_A_EN_BA_PP_NS_DN_CU_2P_FB_N1_OA_XX_IF_90_NS_XU_ST_03_ACQ-SECURITY,PayPal Makes It Possible,Shop the world of Health and keep your card details secure when you checkout with PayPal.,"With millions of merchants around the world, your#ootd is just a click away with PayPal.",PayPal.com,,Page Post Ad,,\Downloads\image_health.jpg,No,,,,,,,,,,,,,,,,1,tp:1674696026155243,2.38436E+16,,"[{""event_type"":""CLICK_THROUGH"",""window_days"":7},{""event_type"":""VIEW_THROUGH"",""window_days"":1}]","[""https://ad.doubleclick.net/ddm/trackimp/N426203.152606FACEBOOK.COM4/B20780821.215457437;dc_trk_aid=414508249;dc_trk_cid=98554523;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?""]"
,A_PP_3P_CS_AD_PD_WB_IF_FB_ACQ-TEST-9,Paused,,,AUCTION,300,37.5,300,TARGET_COST,,,Paused,A_PP_3P_CS_AD_PD_WB_IF_FB_A_EN_BA_PP_NS_DN_CU_2P_FB_N1_OA_ACQ-TEST,23/03/2020,31/03/2020,37.5,300,o:589464587749730,https://www.paypal.com/my/webapps/mpp/global-shopping-with-paypal?tab=travel,,Malaysia,,,,,,,18,65,,,,,,,,,English,,23843676985800639:TD_APAC_HK_MERC_T5-Active_365D_FB,23843673368620639:TD_APAC_HK_MERC_T2-SUComplete_FB,,,facebook,,,,,,,PAGE_LIKES,,Target Cost,,,,,,,,,,,,,,,,,,,Paused,A_PP_3P_CS_AD_PD_WB_IF_FB_A_EN_BA_PP_NS_DN_CU_2P_FB_N1_OA_XX_IF_90_NS_XW_ST_03_ACQ-SECURITY,PayPal Makes It Possible,Shop the world of Travel and keep your card details secure when you checkout with PayPal.,"With millions of merchants around the world, your#ootd is just a click away with PayPal.",PayPal.com,,Page Post Ad,,\Downloads\image_Travel.jpg,No,,,,,,,,,,,,,,,,1,tp:1674696026155243,2.38436E+16,,"[{""event_type"":""CLICK_THROUGH"",""window_days"":7},{""event_type"":""VIEW_THROUGH"",""window_days"":1}]","[""https://ad.doubleclick.net/ddm/trackimp/N426203.152606FACEBOOK.COM4/B20780821.215457437;dc_trk_aid=414508249;dc_trk_cid=98554523;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?""]"
,A_PP_3P_CS_AD_PD_WB_IF_FB_ACQ-TEST-10,Paused,,,AUCTION,300,37.5,300,TARGET_COST,,,Paused,A_PP_3P_CS_AD_PD_WB_IF_FB_A_EN_BA_PP_NS_DN_CU_2P_FB_N1_OA_ACQ-TEST,23/03/2020,31/03/2020,37.5,300,o:589464587749730,https://www.paypal.com/my/webapps/mpp/global-shopping-with-paypal?tab=fashion,,Malaysia,,,,,,,18,65,,,,,,,,,English,,23843676985800639:TD_APAC_HK_MERC_T5-Active_365D_FB,23843673368620639:TD_APAC_HK_MERC_T2-SUComplete_FB,,,facebook,,,,,,,PAGE_LIKES,,Target Cost,,,,,,,,,,,,,,,,,,,Paused,A_PP_3P_CS_AD_PD_WB_IF_FB_A_EN_BA_PP_NS_DN_CU_2P_FB_N1_OA_XX_IA_90_NS_XO_ST_03_ACQ-SECURITY,PayPal Makes It Possible,Shop the world of fashion and keep your card details secure when you checkout with PayPal.,"With millions of merchants around the world, your#ootd is just a click away with PayPal.",PayPal.com,,Page Post Ad,,\Downloads\image_fashion.jpg,No,,,,,,,,,,,,,,,,1,tp:1674696026155243,2.38436E+16,,"[{""event_type"":""CLICK_THROUGH"",""window_days"":7},{""event_type"":""VIEW_THROUGH"",""window_days"":1}]","[""https://ad.doubleclick.net/ddm/trackimp/N426203.152606FACEBOOK.COM4/B20780821.215457437;dc_trk_aid=414508249;dc_trk_cid=98554523;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?""]"
